score_threshold,equal_investment,technical_weight,sentiment_weight,min_market_cap,max_market_cap,total_operations,roi,avg_profit_per_op,win_rate
-1,True,0.85,0.15,10000000,100000000000000,3123,-0.340317002881844,-0.340317002881844,49.5360454691002
-1,True,0.9,0.1,10000000,100000000000000,3123,-0.340317002881844,-0.340317002881844,49.5360454691002
-1,True,0.95,0.05,10000000,100000000000000,3123,-0.340317002881844,-0.340317002881844,49.5360454691002
-1,True,1,0,10000000,100000000000000,3123,-0.340317002881844,-0.340317002881844,49.5360454691002
-0.5,True,0.4,0.6,10000000,100000000000000,3123,-0.340317002881844,-0.340317002881844,49.5360454691002
-0.5,True,0.6,0.4,10000000,100000000000000,3123,-0.340317002881844,-0.340317002881844,49.5360454691002
-0.5,True,0.7,0.3,10000000,100000000000000,3123,-0.340317002881844,-0.340317002881844,49.5360454691002
-0.5,True,0.75,0.25,10000000,100000000000000,3123,-0.340317002881844,-0.340317002881844,49.5360454691002
-0.5,True,0.8,0.2,10000000,100000000000000,3123,-0.340317002881844,-0.340317002881844,49.5360454691002
-0.5,True,0.85,0.15,10000000,100000000000000,3123,-0.340317002881844,-0.340317002881844,49.5360454691002
